DHKTL18,0.29,0.28,0
DHKTL20,0.37,0.13,0
DHKTL21,0.28,0.13,0
DHKTL22,0.24,0.05,0
DHKTL23,0.40,0.09,0
DHKTL24,0.26,0.45,0
DHKTL29,0.38,0.13,0
DHKTL30,0.29,0.08,0
DHLLB01,0.21,0.2,0
DHLLB05,0.26,0.11,0
DHLLB07,0.22,0.11,0
DHLLB09,0.30,0.03,0
DHLLB10,0.28,0.06,0
DHLLB11,0.24,0.12,0
DHLLB13,0.28,0.12,0
DHLLB20,0.22,0.18,0
DHLLB21,0.23,0.21,0
DHLLB23,0.26,0.03,0
DHLLB24,0.26,0.05,0
DHLLB26,0.24,0.31,0
DHLLB27,0.28,0.19,0
DHMDP07,0.26,0.63,0
DHMDP12,0.27,0.11,0
DHMDP14,0.36,0.2,0
DHMDP16,0.40,0.06,0
DHMDP17,0.49,0.16,0
DHMDP19,0.46,0.23,0
DHMDP23,0.42,0.2,0
DHMDP29,0.15,0.1,0
DHMDP31,0.49,0.17,0
DHMJH09,0.52,0.03,0
DHMJH20,0.22,0.03,0
DHMJH22,0.34,0.11,0
DHMJH25,0.25,0.14,0
DHMJH29,0.47,0.08,0
DHMJH30,0.29,0.03,0
DHMJH32,0.62,0.23,0
DHMJH33,0.46,0.17,0
DHMJH38,0.45,0.3,0
DHMJH41,0.28,0.03,0
DHMJH42,0.26,0.07,0
DHMJH45,0.49,0.11,0
DHMOGS0,0.66,0.39,0
DHMRP05,0.25,0.04,0
DHMRP08,0.35,0.03,0
DHMRP10,0.26,0.25,0
DHMRP13,0.26,0.07,0
DHMRP14,0.38,0.06,0
DHMRP15,0.31,0.15,0
DHMRP17,0.42,0.16,0
DHMRP18,0.32,0.04,0
DHMRP19,0.29,0.06,0
DHMRP20,0.27,0.03,0
DHMRP31,0.36,0.08,0
DHMRP35,0.33,0.07,0
DHNMK05,0.27,0.16,0
DHNMK14,0.19,0.33,0
DHNWG03,1.32,0.04,0
DHNWG04,1.36,0.48,0
DHNWG05,1.24,0.31,0
DHNWG06,1.70,0.08,0
DHNWG07,1.38,0.11,0
DHNWG10,1.40,0.13,0
DHNWG12,1.40,0.17,0
DHNWG13,1.47,0.11,0
DHNWG14,1.53,0.14,0
DHNWG17,1.47,0.22,0
DHNWG18,1.38,0.11,0
DHNWG19,1.29,0.14,0
DHPLB01,0.41,0.08,0
DHPLB06,0.30,0.14,0
DHPLB08,0.62,0.17,0
DHPLB10,0.47,0.12,0
DHPLB12,0.44,0.17,0
DHPLB16,0.44,0.1,0
DHPLB18,0.47,0.03,0
DHPLB19,0.40,0.16,0
DHPLB21,0.41,0.25,0
DHPLB22,0.67,0.07,0
